date,company,category,value,source
2016-11-01,CONECEL S.A.,TOTAL_EMPRESA,8777976.0,servicios
2016-11-01,CONECEL S.A.,CHECK_SUM_SERVICIOS,8777976.0,servicios
2016-11-01,OTECEL S.A.,TELEFONIA,1898718.0,servicios
2016-11-01,OTECEL S.A.,TELEFONIA E INTERNET,2374651.0,servicios
2016-11-01,OTECEL S.A.,INTERNET,33368.0,servicios
2016-11-01,OTECEL S.A.,DATOS,192274.0,servicios
2016-11-01,OTECEL S.A.,TOTAL_EMPRESA,4499011.0,servicios
2016-11-01,OTECEL S.A.,CHECK_SUM_SERVICIOS,4499011.0,servicios
2016-11-01,CNT EP,TELEFONIA,507679.0,servicios
2016-11-01,CNT EP,TELEFONIA E INTERNET,765880.0,servicios
2016-11-01,CNT EP,INTERNET,48901.0,servicios
2016-11-01,CNT EP,DATOS,142976.0,servicios
2016-11-01,CNT EP,TOTAL_EMPRESA,1465436.0,servicios
2016-11-01,CNT EP,CHECK_SUM_SERVICIOS,1465436.0,servicios
2016-11-01,TOTAL_MERCADO,TOTAL_MERCADO,14742423.0,servicios
2016-11-01,TOTAL_MERCADO,CHECK_SUM_TOTALES_EMPRESA,14742423.0,servicios
2016-12-01,CONECEL S.A.,TELEFONIA,4041799.0,servicios
2016-12-01,CONECEL S.A.,TELEFONIA E INTERNET,4132455.0,servicios
2016-12-01,CONECEL S.A.,INTERNET,306652.0,servicios
2016-12-01,CONECEL S.A.,DATOS,245917.0,servicios
2016-12-01,CONECEL S.A.,TOTAL_EMPRESA,8726823.0,servicios
